"content","banner","categories","updatedAt","authorId","createdAt","id","url","ownerId","title"
"In this post I will explore 4 different methods that can be used to pass configuration values to the AWS CDK.",,"[{""S"":""AWS-CDK""}]","2024-06-16T20:29:30.220Z","01EV69ZSM0K7CPE40S7EQKHEAV","2021-01-24T18:00:00.000Z","01EWTRTY80K3XSPFAXZR0PP0Y2","https://www.rehanvdm.com/aws/4-methods-to-configure-multiple-environments-in-the-aws-cdk/index.html?utm_source=cdk-dev","1","4 Methods to configure multiple environments in the AWS CDK"
"In this post, we explain how to define the infrastructure required to host a web application using CDK and TypeScript.",,"[{""S"":""AWS-CDK""},{""S"":""TypeScript""},{""S"":""S3""},{""S"":""CloudFront""}]","2024-06-16T20:29:49.453Z","01GQ0VY1R0BKX554PHCHP16KDC","2023-01-17T22:00:00.000Z","01GQ0VY1R0S0M53SBB8YQ0HW7K","https://volca.io/blog/webapp-cdk","1","Web application hosting using AWS CDK and TypeScript"
"This post will present you five different ways to bundle your Lambda function within a CDK construct and tells you about the advantages and disadvantages of each option.",,"[{""S"":""AWS-CDK""},{""S"":""Lambda""}]","2024-06-16T20:29:29.926Z","01EV69ZSM0ND04QMQ2MR2G1GYA","2021-01-16T18:00:00.000Z","01EW65N680M15R9D6HH320X9G7","https://www.sebastianhesse.de/2021/01/16/5-ways-to-bundle-a-lambda-function-within-an-aws-cdk-construct/","1","5 Ways To Bundle a Lambda Function Within an AWS CDK Construct"
"I will guide you through a small demo project to demonstrate how to build a serverless application with AWS CDK and test it locally with AWS SAM.",,"[{""S"":""AWS-CDK""},{""S"":""AWS-SAM""}]","2024-06-16T20:29:38.886Z","01EV69ZSM0C5773B089YGEX7VX","2021-05-21T12:00:00.000Z","01F67CQVG0DN70EDS6RDYA8ZT5","https://dev.to/aws-builders/build-serverless-applications-using-cdk-and-sam-4oig","1","Build Serverless Applications using CDK and SAM"
"CDK Serverless is a tool suite to facilitate the use of the AWS Cloud Development Kit (CDK) in serverless architectures. It provides project management features to configure your TypeScript CDK app and also higher-level (L3) constructs for different APIs and resources needed for serverless applications.",,"[{""S"":""AWS-CDK""}]","2024-06-16T20:29:36.090Z","01EV69ZSM0MM6EBAYQYT89EFVG","2021-04-20T17:00:00.000Z","01F3R3JWM0ZHB1Q2PRSSDND5P0","https://www.youtube.com/watch?v=GGc0eg3E9MM","1","Introduction to the CDK Serverless tool suite"
"We will see how to use OpenAI along with AWS Serverless Services to build a meal planner application","content/banners/ai-powered-and-serverless-meal-planner-with-open-ai-stepfunctions-and-cdk/banner.png","[{""S"":""AWS-CDK""},{""S"":""Step functions""},{""S"":""Lambda""},{""S"":""SES""},{""S"":""OpenAI""}]","2024-06-16T20:29:51.642Z","01GRRZGHM06WWJQC041V8524CT","2023-03-15T06:00:00.000Z","01GVHXN6R0VM681MVJ9DXJN2WW","https://medium.com/gitconnected/building-an-ai-powered-and-serverless-meal-planner-with-openai-aws-step-functions-aws-lambda-ce45c45794cc","1","Building an AI powered and Serverless meal planner with OpenAI, AWS Step functions, AWS Lambda and CDK"
"The AWS CDK makes it easy to deploy your application, regardless if it consists of multiple stacks that are deployed in multiple accounts and regions. Even assets are not a problem. But in your pipeline, you might need some more control over what happens when. And you should understand what happens under the hood. Why?","content/banners/hey-cdk-how-to-cross-account-deployments/banner.png","[{""S"":""AWS-CDK""},{""S"":""Bootstrap""},{""S"":""Cross Account""}]","2024-06-16T20:29:48.903Z","01G9J033R0F33Y6CCAC4C0RBK7","2022-08-03T14:00:00.000Z","01G9J033R0VFHV97G7BF5RJZKM","https://garbe.io/blog/2022/08/01/hey-cdk-how-to-cross-account-deployments/","1","Hey CDK, how do cross-account deployments work?"
"This extension adds L1 construct snippets from AWS CDK into Visual Studio Code.",,"[{""S"":""AWS-CDK""}]","2024-06-16T20:29:38.594Z","01G9Q1EP40BTK0MJYMYYAYCC7C","2021-05-18T17:00:00.000Z","01F606Q0M08ETZ9H9HTP47PSW9","https://towardsthecloud.com/autocomplete-aws-cdk-constructs-vscode","1","Autocomplete AWS CDK L1 Constructs in VS Code"
"In this post I am extending the existing example to build a demo Flutter application for Web, Android and iOS. The CDK code will be in Java, the Lambda functions in Typescript and the WebApp in Dart. Why? Because I love trying out things.","content/banners/flutter-android-ios-deployment-using-cdk-pipelines/header.png","[{""S"":""AWS-CDK""},{""S"":""TypeScript""},{""S"":""Developer Experience""},{""S"":""Java""},{""S"":""Codepipeline""},{""S"":""Android""},{""S"":""iOS""}]","2024-06-16T20:29:47.029Z","01G4F10SC04QEH5J1AY5YXM59V","2022-06-13T16:00:00.000Z","01G5EWP6006BBKVCFV1347MCPF","https://www.lockhead.info/index.php/2022/06/13/building-a-flutter-application-for-web-ios-and-android-using-a-ci-cd-pipeline-on-codebuild-cdk4j/","1","Building a Flutter application (for Web, Android and iOS) with AWS Lambda Function URL backend using AWS CDK Pipelines (written in Java) and CodeMagic"
"In this post Borislav explains how to bundle your Typescript lambda functions.",,"[{""S"":""AWS-CDK""}]","2024-06-16T20:29:36.820Z","01EV69ZSM0N4HZ5YZ994ZBW5F2","2021-04-21T12:00:00.000Z","01F3T4T9G06XPW4V3Q4Y475PXP","https://bobbyhadz.com/blog/aws-cdk-typescript-lambda","1","Write TypeScript Lambda functions in AWS CDK - Complete Guide"
"Work around CloudFormation limitation using NestedStack, and at the same time, keeping the logic of the component!.","content/banners/aws-cdk-structure-components/header.png","[{""S"":""AWS-CDK""},{""S"":""Python""},{""S"":""CloudFormation""},{""S"":""NestedStack""}]","2024-06-16T20:29:18.912Z","01E20JEHW0M8YH778FCKWYMXB9","2020-02-26T11:00:00.000Z","01E20JEHW0EAWBN8D0EJJXQBVA","https://www.sentiatechblog.com/aws-cdk-structure-components","1","A better way to structure AWS CDK projects around Nested Stacks"
"December was an exciting month for CDK! Jason Fulghum delivered an AWS re:Invent presentation on how CDK has changed over the past year and what customers can expect in the next year. The highlight of this talk was the alpha release of CDK v2.",,"[{""S"":""AWS-CDK""}]","2024-06-16T20:29:29.667Z","01EV69ZSM0F1N6FP6WGR7QXXVV","2021-01-14T18:00:00.000Z","01EW10VR805CS1ZCJE0HG42D9J","https://aws.amazon.com/blogs/devops/cdk-corner-january-2020/","1","CDK Corner – January 2021"
"Projen is the CDK for software projects.","content/banners/projen-the-next-cdk-suprise/banner.png","[{""S"":""AWS-CDK""},{""S"":""Typescript""},{""S"":""JSII""},{""S"":""Projen""}]","2024-06-16T20:29:28.818Z","01EV6RZH60MP3QQ79NXAN06PVY","2021-01-04T13:22:00.000Z","01EV6RZH60CDA9R4H46Q5KP39Q","https://dev.to/aws-builders/projen-the-next-cdk-suprise-13b2","1","Projen: The Next CDK Surprise!"
"The Slack Integration Every Dev Team Needs",,"[{""S"":""AWS-CDK""},{""S"":""Lambda""},{""S"":""Typescript""},{""S"":""Github""},{""S"":""CI/CD""}]","2024-06-16T20:29:53.649Z","01EV69ZSM0J75DZJRFEY8PNKSB","2023-08-21T12:00:00.000Z","01H8BZENG0YSMFGWVZ5X7TVEJE","https://matt.martz.codes/cdk-slackbot","1","From Code to Conversation: Bridging GitHub Actions and Slack with CDK"
"Students should learn AWS CDK for their career and it is the most powerful tools in AWS! This post tells you the trick to run AWS CDK in AWS Academy Learner Lab and learn AWS CDK for free!",,"[{""S"":""AWS-CDK""},{""S"":""typescript""},{""S"":""awsacademy""}]","2024-06-16T20:29:44.442Z","01G2J6CA00K4RY23XZFM12C3WP","2022-05-07T12:00:00.000Z","01G2F684G087XDNDM49XVKXM81","https://www.linkedin.com/pulse/aws-cdk-hack-academy-learner-lab-wong-chun-yin-cyrus-%25E9%25BB%2583%25E4%25BF%258A%25E5%25BD%25A5-/","1","AWS CDK Hack for AWS Academy Learner Lab"
